CardId,Normal,Foil,Name,Set
"OGN-048",2,0,"Meditation","Origins"
"OGN-049",2,0,"Playful Phantom","Origins"
"OGN-050",2,0,"Rune Prison","Origins"
"OGN-051",2,0,"Solari Shieldbearer","Origins"
"OGN-052",3,0,"Stalwart Poro","Origins"
"OGN-053",3,0,"Stand United","Origins"
"OGN-054",3,0,"Sunlit Guardian","Origins"
"OGN-055",2,0,"Wielder of Water","Origins"
"OGN-056",1,0,"Adaptatron","Origins"
"OGN-057",1,0,"Block","Origins"
"OGN-058",1,0,"Discipline","Origins"
"OGN-059",1,0,"Eclipse Herald","Origins"
"OGN-060",1,0,"Mask of Foresight","Origins"
"OGN-061",2,0,"Poro Herder","Origins"
"OGN-062",1,0,"Reinforce","Origins"
"OGN-063",1,0,"Spirit's Refuge","Origins"
"OGN-065",1,0,"Wizened Elder","Origins"
"OGN-066",1,0,"Ahri - Alluring","Origins"
"OGN-070",1,0,"Mageseeker Warden","Origins"
"OGN-072",1,0,"Solari Shrine","Origins"
"OGN-074",1,0,"Taric - Protector","Origins"
"OGN-076",1,0,"Yasuo - Remorseful","Origins"
"OGN-079",1,0,"Leona - Zealot","Origins"
"OGN-083",3,0,"Consult the Past","Origins"
"OGN-084",4,0,"Eager Apprentice","Origins"
"OGN-085",5,0,"Falling Comet","Origins"
"OGN-086",2,0,"Jeweled Colossus","Origins"
"OGN-087",5,0,"Lecturing Yordle","Origins"
"OGN-088",4,0,"Mega-Mech","Origins"
"OGN-089",8,0,"Mind Rune","Origins"
"OGN-090",4,0,"Orb of Regret","Origins"
"OGN-091",3,0,"Pit Crew","Origins"
"OGN-092",4,0,"Riptide Rex","Origins"
"OGN-093",2,0,"Smoke Screen","Origins"
"OGN-094",3,0,"Sprite Call","Origins"
"OGN-095",5,0,"Stupefy","Origins"
"OGN-096",2,0,"Watchful Sentry","Origins"
"OGN-097",1,0,"Blastcone Fae","Origins"
"OGN-098",1,0,"Energy Conduit","Origins"
"OGN-099",1,0,"Garbage Grabber","Origins"
"OGN-102",1,0,"Portal Rescue","Origins"
"OGN-103",4,0,"Ravenbloom Student","Origins"
"OGN-104",1,0,"Retreat","Origins"
"OGN-105",4,0,"Singularity","Origins"
"OGN-106",1,0,"Sprite Mother","Origins"
"OGN-109",1,0,"Dr. Mundo - Expert","Origins"
"OGN-115",1,0,"Promising Future","Origins"
"OGN-117",1,0,"Viktor - Innovator","Origins"
"OGN-117a",1,0,"Viktor - Innovator","Origins"
"OGN-118",1,0,"Wraith of Echoes","Origins"
"OGN-124",2,0,"Arena Bar","Origins"
"OGN-125",2,0,"Bilgewater Bully","Origins"
"OGN-126",8,0,"Body Rune","Origins"
"OGN-127",2,0,"Cannon Barrage","Origins"
"OGN-128",2,0,"Challenge","Origins"
"OGN-129",4,0,"Confront","Origins"
"OGN-130",5,0,"Crackshot Corsair","Origins"
"OGN-131",4,0,"Dune Drake","Origins"
"OGN-132",6,0,"First Mate","Origins"
"OGN-133",3,0,"Flurry of Blades","Origins"
"OGN-134",2,0,"Mobilize","Origins"
"OGN-135",2,0,"Pakaa Cub","Origins"
"OGN-136",3,0,"Pit Rookie","Origins"
"OGN-137",3,0,"Stormclaw Ursine","Origins"
"OGN-138",1,0,"Catalyst of Aeons","Origins"
"OGN-139",2,0,"Cithria of Cloudfield","Origins"
"OGN-140",1,0,"Herald of Scales","Origins"
"OGN-141",1,0,"Kinkou Monk","Origins"
"OGN-143",1,0,"Pirate's Haven","Origins"
"OGN-144",1,0,"Spoils of War","Origins"
"OGN-145",1,0,"Unyielding Spirit","Origins"
"OGN-146",1,0,"Wallop","Origins"
"OGN-147",1,0,"Wildclaw Shaman","Origins"
"OGN-149",1,0,"Carnivorous Snapvine","Origins"
"OGN-150",1,0,"Kraken Hunter","Origins"
"OGN-151",1,0,"Lee Sin - Centered","Origins"
"OGN-152",1,0,"Mistfall","Origins"
"OGN-154",1,0,"Primal Strength","Origins"
"OGN-155",1,0,"Qiyana - Victorious","Origins"
"OGN-156",1,0,"Sabotage","Origins"
"OGN-157",1,0,"Udyr - Wildman","Origins"
"OGN-158",1,0,"Volibear - Imposing","Origins"
"OGN-161",1,0,"Deadbloom Predator","Origins"
"OGN-164",1,0,"Sett - Brawler","Origins"
"OGN-165",3,0,"Cemetery Attendant","Origins"
"OGN-166",2,0,"Chaos Rune","Origins"
"OGN-167",2,0,"Ember Monk","Origins"
"OGN-168",3,0,"Fight or Flight","Origins"
"OGN-169",3,0,"Gust","Origins"
"OGN-170",1,0,"Morbid Return","Origins"
"OGN-171",2,0,"Mystic Poro","Origins"
"OGN-172",1,0,"Rebuke","Origins"
"OGN-173",2,0,"Ride the Wind","Origins"
"OGN-174",2,0,"Sai Scout","Origins"
"OGN-175",2,0,"Shipyard Skulker","Origins"
"OGN-176",1,0,"Sneaky Deckhand","Origins"
"OGN-177",1,0,"Stealthy Pursuer","Origins"
"OGN-178",4,0,"Undercover Agent","Origins"
"OGN-179",1,0,"Acceptable Losses","Origins"
"OGN-180",2,0,"Fading Memories","Origins"
"OGN-181",1,0,"Pack of Wonders","Origins"
"OGN-182",1,0,"Scrapheap","Origins"
"OGN-183",1,0,"Stacked Deck","Origins"
"OGN-184",1,0,"The Syren","Origins"
"OGN-185",1,0,"Traveling Merchant","Origins"
"OGN-186",1,0,"Treasure Trove","Origins"
"OGN-188",1,0,"Zaunite Bouncer","Origins"
"OGN-191",1,0,"Maddened Marauder","Origins"
"OGN-192",1,0,"Mindsplitter","Origins"
"OGN-194",1,0,"Nocturne - Horrifying","Origins"
"OGN-196",1,0,"Soulgorger","Origins"
"OGN-200",1,0,"Twisted Fate - Gambler","Origins"
"OGN-206",8,0,"Back to Back","Origins"
"OGN-207",2,0,"Call to Glory","Origins"
"OGN-208",3,0,"Cruel Patron","Origins"
"OGN-209",2,0,"Cull the Weak","Origins"
"OGN-210",8,0,"Daring Poro","Origins"
"OGN-211",5,0,"Faithful Manufactor","Origins"
"OGN-212",2,0,"Forge of the Future","Origins"
"OGN-213",1,0,"Hidden Blade","Origins"
"OGN-214",14,0,"Order Rune","Origins"
"OGN-215",4,0,"Petty Officer","Origins"
"OGN-216",3,0,"Soaring Scout","Origins"
"OGN-217",2,0,"Trifarian Gloryseeker","Origins"
"OGN-218",1,0,"Vanguard Captain","Origins"
"OGN-219",8,0,"Vanguard Sergeant","Origins"
"OGN-220",1,0,"Facebreaker","Origins"
"OGN-221",1,0,"Imperial Decree","Origins"
"OGN-222",4,0,"Noxian Drummer","Origins"
"OGN-223",2,0,"Peak Guardian","Origins"
"OGN-224",1,0,"Salvage","Origins"
"OGN-226",1,0,"Spectral Matron","Origins"
"OGN-227",1,0,"Symbol of the Solari","Origins"
"OGN-228",1,0,"Vanguard Helm","Origins"
"OGN-230",1,0,"Albus Ferros","Origins"
"OGN-232",1,0,"Fiora - Victorious","Origins"
"OGN-235",1,0,"Karma - Channeler","Origins"
"OGN-239",1,0,"Machine Evangel","Origins"
"OGN-240",1,0,"Sett - Kingpin","Origins"
"OGN-241",1,0,"Shen - Kinkou","Origins"
"OGN-244",1,0,"Divine Judgment","Origins"
"OGN-246a",1,0,"Viktor - Leader","Origins"
"OGN-250",1,0,"Stormbringer","Origins"
"OGN-257",1,0,"Lee Sin - Blind Monk","Origins"
"OGN-261",1,0,"Leona - Radiant Dawn","Origins"
"OGN-263",1,0,"Teemo - Swift Scout","Origins"
"OGN-265",1,0,"Viktor - Herald of the Arcane","Origins"
"OGN-267",1,0,"Miss Fortune - Bounty Hunter","Origins"
"OGN-269",1,0,"Sett - The Boss","Origins"
"OGN-271",10,0,"Recruit // Buff","Origins"
"OGN-272",3,0,"Recruit // Buff (NX)","Origins"
"OGN-273",2,0,"Recruit // Buff (ZN)","Origins"
"OGN-274",3,0,"Sprite // Buff","Origins"
"OGN-275",1,0,"Altar to Unity","Origins"
"OGN-276",1,0,"Aspirant's Climb","Origins"
"OGN-277",1,0,"Back-Alley Bar","Origins"
"OGN-278",1,0,"Bandle Tree","Origins"
"OGN-279",1,0,"Fortified Position","Origins"
"OGN-281",1,0,"Hallowed Tomb","Origins"
"OGN-282",1,0,"Monastery of Hirana","Origins"
"OGN-283",2,0,"Navori Fighting Pit","Origins"
"OGN-284",1,0,"Obelisk of Power","Origins"
"OGN-285",1,0,"Reaver's Row","Origins"
"OGN-287",1,0,"Sigil of the Storm","Origins"
"OGN-288",1,0,"Startipped Peak","Origins"
"OGN-289",1,0,"Targon's Peak","Origins"
"OGN-290",1,0,"The Arena's Greatest","Origins"
"OGN-291",1,0,"The Candlelit Sanctum","Origins"
"OGN-292",1,0,"The Dreaming Tree","Origins"
"OGN-293",1,0,"The Grand Plaza","Origins"
"OGN-294",1,0,"Trifarian War Camp","Origins"
"OGN-296",1,0,"Void Gate","Origins"
"OGN-297",1,0,"Windswept Hillock","Origins"
"OGN-298",3,0,"Zaun Warrens","Origins"
"OGN-304",1,0,"Lee Sin - Blind Monk","Origins"
"OGS-006",2,0,"Lux - Illuminated","Proving Grounds"
"OGS-007",2,0,"Garen - Rugged","Proving Grounds"
"OGS-012",3,0,"Blast of Power","Proving Grounds"
"OGS-013",2,0,"Garen - Commander","Proving Grounds"
"OGS-014",2,0,"Lux - Crownguard","Proving Grounds"
"OGS-015",3,0,"Recruit the Vanguard","Proving Grounds"
"OGS-016",6,0,"Vanguard Attendant","Proving Grounds"
"OGS-021",1,0,"Lux - Lady of Luminosity - Starter","Proving Grounds"
"OGS-022",2,0,"Final Spark","Proving Grounds"
"OGS-023",1,0,"Garen - Might of Demacia - Starter","Proving Grounds"
"OGS-024",2,0,"Decisive Strike","Proving Grounds"
"SFD-001",2,0,"Against the Odds","Spiritforged"
"SFD-002",4,0,"Armed Assailant","Spiritforged"
"SFD-003",2,0,"Blood Rush","Spiritforged"
"SFD-004",3,0,"Bushwhack","Spiritforged"
"SFD-005",3,0,"Detonate","Spiritforged"
"SFD-006",3,0,"Eager Drakehound","Spiritforged"
"SFD-007",3,0,"Gem Jammer","Spiritforged"
"SFD-008",3,0,"Sentinel Adept","Spiritforged"
"SFD-009",4,0,"Serrated Dirk","Spiritforged"
"SFD-010",2,0,"Void Drone","Spiritforged"
"SFD-011",2,0,"Angle Shot","Spiritforged"
"SFD-012",1,0,"Battering Ram","Spiritforged"
"SFD-013",1,0,"Blast Corps Cadet","Spiritforged"
"SFD-014",1,0,"Minotaur Reckoner","Spiritforged"
"SFD-015",1,0,"Perched Grimwyrm","Spiritforged"
"SFD-016",1,0,"Recurve Bow","Spiritforged"
"SFD-017",1,0,"Sudden Storm","Spiritforged"
"SFD-018",1,0,"Void Hatchling","Spiritforged"
"SFD-019",1,0,"Assembly Rig","Spiritforged"
"SFD-021",2,0,"Ferrous Forerunner","Spiritforged"
"SFD-022",1,0,"Long Sword","Spiritforged"
"SFD-024",1,0,"Rell - Magnetic","Spiritforged"
"SFD-025",1,0,"Rengar - Pouncing","Spiritforged"
"SFD-026",1,0,"Rumble - Hotheaded","Spiritforged"
"SFD-031",3,0,"Desert's Call","Spiritforged"
"SFD-032",5,0,"Disarming Rake","Spiritforged"
"SFD-033",3,0,"Doran's Shield","Spiritforged"
"SFD-034",2,0,"Feral Strength","Spiritforged"
"SFD-035",3,0,"Guardian of the Passage","Spiritforged"
"SFD-036",4,0,"Lonely Poro","Spiritforged"
"SFD-037",2,0,"Navori Scout","Spiritforged"
"SFD-038",2,0,"Ribbon Dancer","Spiritforged"
"SFD-039",3,0,"Royal Entourage","Spiritforged"
"SFD-040",2,0,"Thwonk!","Spiritforged"
"SFD-041",1,0,"Apprentice Smith","Spiritforged"
"SFD-042",1,0,"Brutalizer","Spiritforged"
"SFD-043",2,0,"Emperor's Divide","Spiritforged"
"SFD-045",1,0,"Not So Fast","Spiritforged"
"SFD-046",1,0,"Poro Snax","Spiritforged"
"SFD-047",1,0,"Simian Ancestor","Spiritforged"
"SFD-048",2,0,"Stellacorn Herder","Spiritforged"
"SFD-050",1,0,"Azir - Ascendant","Spiritforged"
"SFD-051",1,0,"Guardian Angel","Spiritforged"
"SFD-052",1,0,"Heart of Dark Ice","Spiritforged"
"SFD-054",1,0,"Jax - Unmatched","Spiritforged"
"SFD-054A",1,0,"Jax - Unmatched","Spiritforged"
"SFD-055",1,0,"Needlessly Large Yordle","Spiritforged"
"SFD-058",1,0,"Ornn - Blacksmith","Spiritforged"
"SFD-058A",1,0,"Ornn - Blacksmith","Spiritforged"
"SFD-061",2,0,"Aspiring Engineer","Spiritforged"
"SFD-062",3,0,"Bubble Bot","Spiritforged"
"SFD-063",4,0,"Chemtech Cask","Spiritforged"
"SFD-064",3,0,"Cloth Armor","Spiritforged"
"SFD-065",2,0,"Forecaster","Spiritforged"
"SFD-066",3,0,"Frigid Touch","Spiritforged"
"SFD-067",3,0,"Frostcoat Cub","Spiritforged"
"SFD-068",3,0,"Gearhead","Spiritforged"
"SFD-069",3,0,"Plundering Poro","Spiritforged"
"SFD-070",4,0,"Wages of Pain","Spiritforged"
"SFD-071",1,0,"Breakneck Mech","Spiritforged"
"SFD-072",1,0,"Dropboarder","Spiritforged"
"SFD-073",1,0,"Experimental Hexplate","Spiritforged"
"SFD-074",2,0,"Pickpocket","Spiritforged"
"SFD-075",1,0,"Prize of Progress","Spiritforged"
"SFD-076",1,0,"Production Surge","Spiritforged"
"SFD-077",1,0,"Rocket Barrage","Spiritforged"
"SFD-078",1,0,"Temporal Portal","Spiritforged"
"SFD-080",1,0,"Bellows Breath","Spiritforged"
"SFD-081",1,0,"Card Sharp","Spiritforged"
"SFD-083",1,0,"Hextech Anomaly","Spiritforged"
"SFD-084",2,0,"Jayce - Man of Progress","Spiritforged"
"SFD-085",1,0,"Ornn - Forge God","Spiritforged"
"SFD-086",1,0,"World Atlas","Spiritforged"
"SFD-091",4,0,"Buhru Captain","Spiritforged"
"SFD-092",3,0,"Combat Chef","Spiritforged"
"SFD-093",3,0,"Dauntless Vanguard","Spiritforged"
"SFD-094",3,0,"Direwing","Spiritforged"
"SFD-095",3,0,"Doran's Blade","Spiritforged"
"SFD-096",2,0,"Laurent Bladekeeper","Spiritforged"
"SFD-097",3,0,"Punch First","Spiritforged"
"SFD-098",4,0,"Sea Monkey","Spiritforged"
"SFD-099",4,0,"Veteran Poro","Spiritforged"
"SFD-100",2,0,"Yordle Explorer","Spiritforged"
"SFD-101",2,0,"Fae Dragon","Spiritforged"
"SFD-102",1,0,"Hexdrinker","Spiritforged"
"SFD-103",1,0,"Jaull-Fish","Spiritforged"
"SFD-104",2,0,"Petricite Monument","Spiritforged"
"SFD-105",1,0,"Ruin Runner","Spiritforged"
"SFD-106",1,0,"Show of Strength","Spiritforged"
"SFD-107",2,0,"Strike Down","Spiritforged"
"SFD-108",1,0,"Warmog's Armor","Spiritforged"
"SFD-109",1,0,"Akshan - Mischievous","Spiritforged"
"SFD-110",1,0,"Fiora - Peerless","Spiritforged"
"SFD-111",1,0,"Here to Help","Spiritforged"
"SFD-113",1,0,"Lucian - Merciless","Spiritforged"
"SFD-115",1,0,"Trinity Force","Spiritforged"
"SFD-116",1,0,"Yone - Blademaster","Spiritforged"
"SFD-119",1,0,"Jax - Unrelenting","Spiritforged"
"SFD-121",3,0,"Black Market Broker","Spiritforged"
"SFD-122",2,0,"Called Shot","Spiritforged"
"SFD-123",3,0,"Corrupt Enforcer","Spiritforged"
"SFD-124",4,0,"Doran's Ring","Spiritforged"
"SFD-125",3,0,"Fae Porter","Spiritforged"
"SFD-126",3,0,"Loyal Pup","Spiritforged"
"SFD-127",4,0,"Master Bingwen","Spiritforged"
"SFD-128",3,0,"Overzealous Fan","Spiritforged"
"SFD-129",2,0,"Temptation","Spiritforged"
"SFD-130",3,0,"Treasure Hunter","Spiritforged"
"SFD-131",1,0,"Ancient Warmonger","Spiritforged"
"SFD-132",1,0,"Beast Below","Spiritforged"
"SFD-133",1,0,"Boots of Swiftness","Spiritforged"
"SFD-134",1,0,"Cull","Spiritforged"
"SFD-135",2,0,"Factory Recall","Spiritforged"
"SFD-136",2,0,"Hard Bargain","Spiritforged"
"SFD-137",1,0,"Harpoon Squad","Spiritforged"
"SFD-138",1,0,"Windsinger","Spiritforged"
"SFD-139",1,0,"Edge of Night","Spiritforged"
"SFD-140",1,0,"Fizz - Trickster","Spiritforged"
"SFD-142",1,0,"Jae Medarda","Spiritforged"
"SFD-143",2,0,"Sivir - Mercenary","Spiritforged"
"SFD-146",1,0,"Vex - Cheerless","Spiritforged"
"SFD-148",1,0,"Draven - Audacious","Spiritforged"
"SFD-151",3,0,"Bonds of Strength","Spiritforged"
"SFD-152",3,0,"Eminent Benefactor","Spiritforged"
"SFD-153",3,0,"Eye of the Herald","Spiritforged"
"SFD-154",2,0,"Guards!","Spiritforged"
"SFD-155",4,0,"Honest Broker","Spiritforged"
"SFD-156",2,0,"Laurent Duelist","Spiritforged"
"SFD-157",5,0,"Royal Guard","Spiritforged"
"SFD-158",4,0,"Sandshifter","Spiritforged"
"SFD-159",3,0,"Trusty Ramhound","Spiritforged"
"SFD-160",2,0,"Zaun Punk","Spiritforged"
"SFD-161",1,0,"B.F. Sword","Spiritforged"
"SFD-162",1,0,"Blood Money","Spiritforged"
"SFD-163",1,0,"Deathgrip","Spiritforged"
"SFD-164",1,0,"Drag Under","Spiritforged"
"SFD-165",1,0,"Glasc Mixologist","Spiritforged"
"SFD-166",1,0,"Rally the Troops","Spiritforged"
"SFD-167",2,0,"Unsung Hero","Spiritforged"
"SFD-168",1,0,"Vanguard Armory","Spiritforged"
"SFD-170",1,0,"Rek'Sai - Swarm Queen","Spiritforged"
"SFD-171",1,0,"Renata Glasc - Industrialist","Spiritforged"
"SFD-173",1,0,"Soraka - Wanderer","Spiritforged"
"SFD-174",1,0,"Trove Golem","Spiritforged"
"SFD-175",1,0,"Undertitan","Spiritforged"
"SFD-177",1,0,"Azir - Sovereign","Spiritforged"
"SFD-178",1,0,"Blade of the Ruined King","Spiritforged"
"SFD-181",1,0,"Rumble - Mechanized Menace","Spiritforged"
"SFD-185",1,0,"Draven - Glorious Executioner","Spiritforged"
"SFD-187",1,0,"Rek'Sai - Void Burrower","Spiritforged"
"SFD-189",1,0,"Ornn - Fire Below the Mountain","Spiritforged"
"SFD-192",1,0,"Shurelya's Requiem","Spiritforged"
"SFD-193",1,0,"Jax - Grandmaster at Arms","Spiritforged"
"SFD-195",1,0,"Irelia - Blade Dancer","Spiritforged"
"SFD-197",1,0,"Azir - Emperor of the Sands","Spiritforged"
"SFD-199",1,0,"Ezreal - Prodigal Explorer","Spiritforged"
"SFD-201",1,0,"Renata Glasc - Chem-Baroness","Spiritforged"
"SFD-207",1,0,"Emperor's Dais","Spiritforged"
"SFD-208",1,0,"Forge of the Fluft","Spiritforged"
"SFD-209",2,0,"Forgotten Monument","Spiritforged"
"SFD-210",2,0,"Hall of Legends","Spiritforged"
"SFD-211",1,0,"Marai Spire","Spiritforged"
"SFD-212",1,0,"Minefield","Spiritforged"
"SFD-213",2,0,"Ornn's Forge","Spiritforged"
"SFD-214",2,0,"Power Nexus","Spiritforged"
"SFD-215",1,0,"Ravenbloom Conservatory","Spiritforged"
"SFD-216",2,0,"Rockfall Path","Spiritforged"
"SFD-217",1,0,"Seat of Power","Spiritforged"
"SFD-218",2,0,"Sunken Temple","Spiritforged"
"SFD-219",1,0,"The Papertree","Spiritforged"
"SFD-220",2,0,"Treasure Hoard","Spiritforged"
"SFD-221",1,0,"Veiled Temple","Spiritforged"
"SFD-R01",2,0,"Fury Rune","Spiritforged"
"SFD-R02",2,0,"Calm Rune","Spiritforged"
"SFD-R03",4,0,"Mind Rune","Spiritforged"
"SFD-R04",2,0,"Body Rune","Spiritforged"
"SFD-R05",2,0,"Chaos Rune","Spiritforged"
"SFD-R06",2,0,"Order Rune","Spiritforged"
"SFD-R06a",1,0,"Order Rune","Spiritforged"
"SFD-T01",1,0,"Mech // Buff","Spiritforged"
"SFD-T01g",3,0,"Mech // Gold","Spiritforged"
"SFD-T02",5,0,"Sand Soldier // Buff","Spiritforged"
"SFD-T03",7,0,"Gold // Buff","Spiritforged"
